chapter_id,chapter_name,zone,region,chapter_type,account_type,city,state,country,lat,lon,snapshot_date
a0M6g00000BqR3d,University of Arkansas-Fayetteville,OK Zone,Region 5,Collegiate Chapter,Chapter,FAYETTEVILLE,Arkansas,United States,34.726322471899216,-92.23569873744559,2026-06-19
a0M6g00000BqR51,University of Arkansas - Little Rock,OK Zone,Region 5,Collegiate Chapter,Chapter,Little Rock,Arkansas,United States,34.93201339290182,-92.45640814173247,2026-06-19
a0MUJ000002g6Pd,Philander Smith University NSBE Chapter,,Region 5,Collegiate Chapter,Non-Member,Little Rock,Arkansas,United States,34.83076246240351,-92.28192518481679,2026-06-19
a0MUJ000009wEWr,Arkansas State University,,Region 5,Collegiate Chapter,Non-Member,STATE UNIVERSITY,Arkansas,United States,34.87297282738737,-92.66176805647873,2026-06-19
a0M6g00000BqR4L,California State University-Chico,Northern California Zone,Region 6,Collegiate Chapter,Chapter,CHICO,California,United States,35.84880713148436,-119.35823563481533,2026-06-19
a0M6g00000BqR4N,California State University-Fullerton,Southern California Zone,Region 6,Collegiate Chapter,Chapter,FULLERTON,California,United States,36.40220948349533,-119.54176900633247,2026-06-19
a0M6g00000BqR4O,"California State University, Long Beach",Southern California Zone,Region 6,Collegiate Chapter,Chapter,Long Beach,California,United States,35.952311973021665,-119.35314053585658,2026-06-19
a0M6g00000BqR4P,California State University-Los Angeles,Southern California Zone,Region 6,Collegiate Chapter,Chapter,LOS ANGELES,California,United States,36.31132863277605,-119.5297408675887,2026-06-19
a0M6g00000BqR4Q,California State University - Northridge,Southern California Zone,Region 6,Collegiate Chapter,Chapter,Los Angeles,California,United States,36.08075605150065,-119.84099490670839,2026-06-19
a0M6g00000BqR4R,California State Polytechnic University - Pomona,Southern California Zone,Region 6,Collegiate Chapter,Chapter,Pomona,California,United States,35.83367667350745,-119.3997423224193,2026-06-19
a0M6g00000BqR4S,California State University-Sacramento,Northern California Zone,Region 6,Collegiate Chapter,Chapter,SACRAMENTO,California,United States,36.08524640288353,-119.88990964464334,2026-06-19
a0M6g00000BqR4T,San Diego State University NSBE Chapter,Southern California Zone,Region 6,Collegiate Chapter,Chapter,SAN DIEGO,California,United States,35.98037263690546,-119.62611030174067,2026-06-19
a0M6g00000BqR4U,San Francisco State University,Northern California Zone,Region 6,Collegiate Chapter,Chapter,SAN FRANCISCO,California,United States,35.889943948057464,-119.43193400113533,2026-06-19
